OrderDate,Category,Region,CustomerSegment,Channel,Price,Quantity,Discount,Revenue,Rating,Age,Month,Quarter,Year
2024-01-01,Home & Garden,South,Returning,Mobile App,77.6,4,0.0,310.4,4.4,43,2024-01,2024Q1,2024
2024-01-01,Sports,Central,New,Online,258.75,3,0.0,776.25,4.0,18,2024-01,2024Q1,2024
2024-01-01,Home & Garden,East,New,Mobile App,410.73,4,0.15,1396.48,3.0,62,2024-01,2024Q1,2024
2024-01-01,Electronics,East,New,Mobile App,142.81,5,0.0,714.05,4.2,21,2024-01,2024Q1,2024
2024-01-01,Home & Garden,North,Returning,In-Store,346.95,4,0.0,1387.8,3.5,46,2024-01,2024Q1,2024
2024-01-02,Books,West,Returning,In-Store,29.43,4,0.05,111.83,3.2,40,2024-01,2024Q1,2024
2024-01-02,Electronics,East,VIP,Mobile App,560.44,2,0.0,1120.88,5.0,69,2024-01,2024Q1,2024
2024-01-02,Home & Garden,East,New,Online,204.87,4,0.15,696.56,3.6,32,2024-01,2024Q1,2024
2024-01-02,Clothing,Central,Returning,Online,115.37,1,0.0,115.37,2.8,18,2024-01,2024Q1,2024
2024-01-02,Sports,South,VIP,Mobile App,178.49,2,0.0,356.98,4.2,46,2024-01,2024Q1,2024
2024-01-03,Sports,Central,New,Online,271.97,2,0.1,489.55,4.1,42,2024-01,2024Q1,2024
2024-01-03,Home & Garden,Central,Returning,Online,96.89,1,0.15,82.36,3.6,18,2024-01,2024Q1,2024
2024-01-03,Electronics,East,Returning,Mobile App,515.65,4,0.15,1753.21,2.9,27,2024-01,2024Q1,2024
2024-01-04,Books,South,Returning,Mobile App,21.35,3,0.0,64.05,3.8,47,2024-01,2024Q1,2024
2024-01-04,Electronics,East,New,In-Store,964.92,5,0.0,4824.6,2.9,35,2024-01,2024Q1,2024
2024-01-05,Clothing,North,Returning,In-Store,60.18,3,0.0,180.54,3.2,42,2024-01,2024Q1,2024
2024-01-05,Sports,North,New,In-Store,109.89,1,0.1,98.9,3.5,35,2024-01,2024Q1,2024
2024-01-05,Books,East,Returning,In-Store,46.86,1,0.15,39.83,3.5,18,2024-01,2024Q1,2024
2024-01-05,Sports,West,Returning,In-Store,223.28,2,0.0,446.56,3.7,48,2024-01,2024Q1,2024
2024-01-05,Electronics,East,Returning,Online,1155.63,5,0.0,5778.15,3.4,21,2024-01,2024Q1,2024
2024-01-06,Electronics,East,Returning,Online,754.48,5,0.0,3772.4,3.9,34,2024-01,2024Q1,2024
2024-01-07,Clothing,Central,Returning,Mobile App,156.46,2,0.0,312.92,3.2,39,2024-01,2024Q1,2024
